week_number,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
9,0.25949367088607594,0.21694214876033058,0.14473684210526316,0.06285714285714286,0.047619047619047616,0.0712401055408971,0.15178571428571427
10,0.2309090909090909,0.15358361774744028,0.14325068870523416,0.19533527696793002,0.06918238993710692,0.20336134453781513,0.22164948453608246
11,0.06047516198704104,0.14327485380116958,0.041666666666666664,0.19577735124760076,0.12643678160919541,0.33519553072625696,0.17982456140350878
12,0.12027491408934708,0.04,0.04285714285714286,0.12609457092819615,0.18421052631578946,0.325,0.27380952380952384
13,0.20057306590257878,0.11940298507462686,0.18115942028985507,0.03571428571428571,0.09562841530054644,0.25240384615384615,0.11538461538461539
14,0.24193548387096775,0.16875,0.1016597510373444,0.055201698513800426,0.13392857142857142,0.05977382875605816,0.06444444444444444
15,0.09004739336492891,0.07194244604316546,0.084,0.04060913705583756,0.12807881773399016,0.1323943661971831,0.1935483870967742
16,0.17052980132450332,0.225,0.15079365079365079,0.049145299145299144,0.09550561797752809,0.17921146953405018,0.1178082191780822
45,0.1393939393939394,0.1510574018126888,0.05426356589147287,0.04076086956521739,0.05555555555555555,0.22811671087533156,0.32432432432432434
46,0.28205128205128205,0.1989795918367347,0.15056818181818182,0.07792207792207792,0.10457516339869281,0.31365313653136534,0.10465116279069768
47,0.19029126213592232,0.21549636803874092,0.17880794701986755,0.11214953271028037,0.13414634146341464,0.06007067137809187,0.07735849056603773
48,0.23214285714285715,0.1353211009174312,0.041237113402061855,0.048828125,0.07129094412331406,0.3471337579617834,0.10321100917431193
49,0.16989247311827957,0.22556390977443608,0.16161616161616163,0.13215859030837004,0.04113924050632911,0.0591016548463357,0.18090452261306533
50,0.10089686098654709,0.21557971014492755,0.15555555555555556,0.2111111111111111,0.20809248554913296,0.16,0.1693548387096774
51,0.07203389830508475,0.09009009009009009,0.18050541516245489,0.03551401869158879,0.1038961038961039,0.28842105263157897,0.14012738853503184
52,0.2793594306049822,0.21608040201005024,0.03051643192488263,0.13432835820895522,0.20751633986928106,0.3121869782971619,0.2731707317073171
